name,kindRu,nationRu,tier,cost,attack,hp,income,vehicleClassRu,hqTypeRu,platoonSpecRu,platoonBonus,rarityRu,branch,abilities
11th Squadron,Штаб,США,4,,1,24,9,,Сводный,,,Обычная,Training Camp,"Восстановите 1 единицу прочности, выбранному штабу или технике. За каждую 5 единицу ресурсов."
13-я дивизия,Штаб,СССР,4,,2,25,7,,Сводный,,,Премиумная,13-я дивизия,Когда уничтожается техника противника - переместите одну случайную карту из потерь в колоду.
21-й танковый,Штаб,СССР,4,,2,26,6,,Сводный,,,Обычная,Учебная часть,"Огневая мощь штаба противника уменьшена на 1, если она должна быть равна 2 или больше."
2nd Armored,Штаб,США,4,,2,22,7,,Ударный,,,Обычная,Training Camp,Когда в ваш ход уничтожается техника противника — нанесите 1 повреждение штабу противника и восстановите 1 прочности своему штабу.
3-я дивизия,Штаб,СССР,8,,2,27,8,,Тыловой,,,Обычная,4-я дивизия,"Ваша советская техника, атакуя, наносит на 1 повреждение больше по технике противника, которую на этом ходе атаковал ваш штаб."
3rd Airborne,Штаб,США,4,,1,20,10,,Тыловой,,,Обычная,Training Camp,Когда уничтожается вражеская техника - противник перемещает 1 случайную карту из своей колоды в потери.
4-я дивизия,Штаб,СССР,4,,1,23,8,,Тыловой,,,Обычная,Учебная часть,Возьмите карту за 7 ресурсов.
41-я танковая,Штаб,СССР,8,,3,32,6,,Ударный,,,Обычная,7-й танковый,"Нанесите 1 повреждение всем картам противника, которым наносились повреждения в этот ход., заплатив 4 ресурса."
501 AD,Взвод,США,6,2,3,3,,,,Артиллеристы,attack,Обычная,11th Squadron,"Разыгрывая эту карту вы можете потратить N единиц ресурсов, чтобы этот взвод получил N единиц к прочности."
60-я танковая,Штаб,СССР,8,,2,35,7,,Сводный,,,Обычная,21-й танковый,"В начале хода, если у вас на поле две и более техники со способностью “Охранение” — возьмите карту."
7-й танковый,Штаб,СССР,4,,3,26,5,,Ударный,,,Обычная,Учебная часть,Взводы противника получают на 1 повреждение больше.
7th Armored,Штаб,США,8,,3,27,7,,Ударный,,,Обычная,2nd Armored,Когда вы тратите 6 или более ресурсов на розыгрыш карты — нанесите 2 повреждения штабу противника.
А-32,Техника,СССР,4,4,2,4,2,Средний танк,,,,Премиумная,,Национальная особенность:Маскировка.
Артиллеристы 17,Взвод,СССР,3,5,2,7,0,,,Артиллеристы,attack,Обычная,4-я дивизия,Нанесите 1 повреждение этому взводу и выбранному взводу противника (на штабах СССР).
АТ-1,Техника,СССР,3,2,2,4,1,ПТ-САУ,,,,Удалена из игры,Учебная часть,Маскировка (на штабах СССР).
Без пощады,Приказ,СССР,5,3,,,,,,,,Наёмник,7-й танковый,Вся техника противника теряет свойство Охранение до конца хода. | (только для советских штабов) Нанесите 3 повреждения штабу противника
БТ-2,Техника,СССР,2,3,1,6,0,Лёгкий танк,,,,Обычная,Учебная часть,Пока у этого танка 3 или менее прочности - он получает +3 к приросту ресурсов (только для советских штабов)
БТ-СВ,Техника,СССР,3,3,1,4,0,Лёгкий танк,,,,Премиумная,,Когда уничтожен - +1 к приросту ресурсов вашего штаба.
Валентайн II,Техника,СССР,4,3,1,3,1,Лёгкий танк,,,,Премиумная,,Получает на 1 повреждение меньше от атак и контратак (на штабах СССР)
ИС-4,Техника,СССР,10,9,4,17,2,Тяжёлый танк,,,,Наёмник,60-я танковая,Арьергард | Национальная особенность: Стоимость уменьшается на 2 за каждую технику со свойством Охранение на поле боя. | Способность активная на сводных штабах: Ваша техника со свойством Охранение получает на 1 повреждение меньше от атак САУ и штаба противника.
ИС-7,Техника,СССР,10,9,4,16,0,Тяжёлый танк,,,,Наёмник,41-я танковая,Прикрытие. | Когда выходит на поле боя — техника противника теряет свойство Охранение (на штабах СССР). | Стоимость уменьшается на 3 за каждый ваш взвод (на ударных штабах).
ИСУ-152,Техника,СССР,8,7,3,10,1,ПТ-САУ,,,,Наёмник,60-я танковая,"Подожгите технику, атакованную или контратакованную ИСУ-152 (на штабах СССР). | Способность активная на сводных штабах. Прикрытие."
Криминалисты,Взвод,СССР,4,5,2,9,0,,,Медики,defence,Обычная,21-й танковый,Подкрепления. | Когда ваш штаб наносит повреждения штабу противника — нанесите 1 повреждение каждому его взводу (на штабах СССР).
МС-1,Техника,СССР,1,2,1,4,1,Лёгкий танк,,,,Стартовая,,
Объект 261,Техника,СССР,10,6,3,6,0,САУ,,,,Обычная,41-я танковая,+4 к прочности (на штабах СССР). | Когда выходит на поле боя — карты противника теряют свойство Маскировка (на ударных штабах).
Объект 268,Техника,СССР,10,8,3,16,1,ПТ-САУ,,,,Обычная,3-я дивизия,После атаки - Объект 268 получает +1 к огневой мощи(на штабах СССР). | Когда Объект 268 контратакует - получает +1 к приросту ресурсов(на штабах СССР) | Охранение (на тыловых штабах).
Объект 704,Техника,СССР,9,6,3,10,1,ПТ-САУ,,,,Обычная,41-я танковая,Когда Объект 704 атакует или контратакует технику с прочностью 3 или меньше - уничтожьте эту технику. (на штабах СССР) | Подкрепления (на ударных штабах)
С-51,Техника,СССР,7,6,2,6,0,САУ,,,,Обычная,41-я танковая,Когда атакует штаб противника — наносит на 1 повреждение больше. | Арьергард (на штабах СССР)
Спецгруппа,Штаб,СССР,4,,2,29,6,,Сводный,,,Подарочная,Спецгруппа,Техника противника может контратаковать ваш штаб.
